PHL	DTW	729
MIA	DTW	1849
BOS	DTW	1016
MSP	DTW	849
CLT	DTW	807
MCO	DTW	1545
PHX	DTW	2687
LGA	DTW	806
ORD	BOS	1393
LAS	BOS	3827
DEN	BOS	2819
ATL	BOS	1523
SFO	BOS	4346
EWR	BOS	323
IAH	BOS	2570
LAX	BOS	4198
DFW	BOS	2512
SEA	BOS	4010
JFK	BOS	301
PHL	BOS	451
MIA	BOS	2031
DTW	BOS	1016
MSP	BOS	1806
CLT	BOS	1172
MCO	BOS	1808
PHX	BOS	3698
LGA	BOS	297
ORD	MSP	538
LAS	MSP	2090
DEN	MSP	1094
ATL	MSP	1461
SFO	MSP	2554
EWR	MSP	1621
IAH	MSP	1669
LAX	MSP	2470
DFW	MSP	1374
SEA	MSP	2247
JFK	MSP	1653
PHL	MSP	1576
MIA	MSP	2421
DTW	MSP	849
BOS	MSP	1806
CLT	MSP	1498
MCO	MSP	2113
PHX	MSP	2054
LGA	MSP	1640
ORD	CLT	966
LAS	CLT	3080
DEN	CLT	2151
ATL	CLT	365
SFO	CLT	3691
EWR	CLT	851
IAH	CLT	1469
LAX	CLT	3416
DFW	CLT	1505
SEA	CLT	3664
JFK	CLT	871
PHL	CLT	722
MIA	CLT	1051
DTW	CLT	807
BOS	CLT	1172
MSP	CLT	1498
MCO	CLT	756
PHX	CLT	2852
LGA	CLT	876
ORD	MCO	1622
LAS	MCO	3280
DEN	MCO	2489
ATL	MCO	651
SFO	MCO	3933
EWR	MCO	1513
IAH	MCO	1374
LAX	MCO	3566
DFW	MCO	1584
SEA	MCO	4109
JFK	MCO	1523
PHL	MCO	1390
MIA	MCO	310
DTW	MCO	1545
BOS	MCO	1808
MSP	MCO	2113
CLT	MCO	756
PHX	MCO	2973
LGA	MCO	1533
ORD	PHX	2316
LAS	PHX	411
DEN	PHX	970
ATL	PHX	2552
SFO	PHX	1047
EWR	PHX	3429
IAH	PHX	1623
LAX	PHX	595
DFW	PHX	1395
SEA	PHX	1784
JFK	PHX	3462
PHL	PHX	3336
MIA	PHX	3172
DTW	PHX	2687
BOS	PHX	3698
MSP	PHX	2054
CLT	PHX	2852
MCO	PHX	2973
LGA	PHX	3454
ORD	LGA	1178
LAS	LGA	3604
DEN	LGA	2603
ATL	LGA	1226
SFO	LGA	4146
EWR	LGA	27
IAH	LGA	2280
LAX	LGA	3970
DFW	LGA	2234
SEA	LGA	3877
JFK	LGA	17
PHL	LGA	154
MIA	LGA	1770
DTW	LGA	806
BOS	LGA	297
MSP	LGA	1640
CLT	LGA	876
MCO	LGA	1533
PHX	LGA	3454
